speaker_id,name,role,gender,party,faction,terms,utterance_count,category,score,word_count,top_words
松原清光,松原清光,農林水産部長,,,,,808,農業・水産業,0.936813,28,"山羊,耕土,肥育,和牛,圃場"
松原清光,松原清光,農林水産部長,,,,,808,観光・産業,0.136781,10,"製造,購買,航路,楽園,旅費"
松原清光,松原清光,農林水産部長,,,,,808,環境・防災,0.434609,19,"防除,土砂,珊瑚,除草,雨水"
松原清光,松原清光,農林水産部長,,,,,808,財政・税金,0.404463,22,"収穫,減価,償却,損益,賦課"
松原清光,松原清光,農林水産部長,,,,,808,行政・議会運営,0.28094,19,"謝罪,公益,規格,専決,解散"
松原清光,松原清光,農林水産部長,,,,,808,安全保障・基地問題,0.035211,3,"火薬,米国,弾薬"
下地信男,下地 信男,教育部長,男,無所属,幸政会,"5,6",1143,暮らし・福祉,0.354205,17,"労務,民泊,難病,移住,不妊"
下地信男,下地 信男,教育部長,男,無所属,幸政会,"5,6",1143,医療・健康,0.332575,16,"難病,患者,疾患,健診,診療"
下地信男,下地 信男,教育部長,男,無所属,幸政会,"5,6",1143,子ども・教育,0.431631,20,"教職員,入学,授業,学級,学園"
下地信男,下地 信男,教育部長,男,無所属,幸政会,"5,6",1143,まちづくり・インフラ,0.52031,27,"灯油,ｉｃｔ,ｌｅｄ,外構,土砂"
下地信男,下地 信男,教育部長,男,無所属,幸政会,"5,6",1143,農業・水産業,0.326666,17,"牡蠣,肥料,食材,飼料,圃場"
下地信男,下地 信男,教育部長,男,無所属,幸政会,"5,6",1143,観光・産業,0.375392,22,"民泊,物価,売り払い,音楽,楽園"
下地信男,下地 信男,教育部長,男,無所属,幸政会,"5,6",1143,環境・防災,0.510649,27,"崖下,軽石,蓄電,雨漏り,廃校"
下地信男,下地 信男,教育部長,男,無所属,幸政会,"5,6",1143,財政・税金,0.618087,36,"納品,賦課,財団,滞納,還付"
下地信男,下地 信男,教育部長,男,無所属,幸政会,"5,6",1143,行政・議会運営,0.931799,54,"解任,誤字,選考,部会,謄本"
下地信男,下地 信男,教育部長,男,無所属,幸政会,"5,6",1143,安全保障・基地問題,0.069932,5,"有事,遺跡,日米,軍事,駐屯"
友利光徳,友利 光徳,議員,男,無所属,無会派,"1,3,4,5",1280,暮らし・福祉,0.227172,12,"慰謝,弁償,移住,空き家,傍聴"
友利光徳,友利 光徳,議員,男,無所属,無会派,"1,3,4,5",1280,医療・健康,0.139265,10,"接種,虐待,認知,医師,療養"
友利光徳,友利 光徳,議員,男,無所属,無会派,"1,3,4,5",1280,子ども・教育,0.37929,16,"学区,校長,入学,学力,教職員"
友利光徳,友利 光徳,議員,男,無所属,無会派,"1,3,4,5",1280,まちづくり・インフラ,0.453444,23,"工区,外構,残土,土工,数量"
友利光徳,友利 光徳,議員,男,無所属,無会派,"1,3,4,5",1280,農業・水産業,0.285203,15,"山羊,農村,漁港,農振,牧場"
友利光徳,友利 光徳,議員,男,無所属,無会派,"1,3,4,5",1280,観光・産業,0.28149,17,"受章,表彰,祭場,購買,球場"
友利光徳,友利 光徳,議員,男,無所属,無会派,"1,3,4,5",1280,環境・防災,0.333467,24,"土砂,廃校,雨漏り,汚泥,崖下"
友利光徳,友利 光徳,議員,男,無所属,無会派,"1,3,4,5",1280,財政・税金,0.454149,27,"落札,随意,有償,不納,収穫"
